LISTING: red steel led strip, size 10 | BRAND: Ostrell | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: black steel running shoes, size 11 | BRAND: Brontek | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: black leather toaster, size 5 | BRAND: Duxton | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black aluminum work gloves, size 4 | BRAND: Luminara | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: green canvas blender, size 7 | BRAND: Vornado | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: blue canvas blender, size 6 | BRAND: Halvern | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green rubber toaster, size 4 | BRAND: Ostrell | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: blue silicone pet bed, size 9 | BRAND: Krendal | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black cotton duffel bag, size 11 | BRAND: TrailKing | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: white steel kettle, size 1 | BRAND: Fenwick | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white aluminum blender, size 12 | BRAND: PawHaven | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: green rubber cat tree, size 10 | BRAND: PawHaven | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: grey silicone heat gun, size 7 | BRAND: Vornado | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow steel resistance bands, size 6 | BRAND: Brontek | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: red steel laser pointer, size 10 | BRAND: Nordbay | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white aluminum trail shoes, size 11 | BRAND: Kestrel | REGION: AU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: yellow silicone work gloves, size 5 | BRAND: Jovita | REGION: CA -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: grey leather trail shoes, size 8 | BRAND: Solvex | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: white rubber kettle, size 10 | BRAND: Brontek | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black leather laser pointer, size 12 | BRAND: Corvale | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue nylon circular saw, size 8 | BRAND: Grohler | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red leather dumbbell set, size 11 | BRAND: Mavano | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: grey aluminum welding gloves, size 4 | BRAND: Pinevale | REGION: AU -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: yellow leather floor lamp, size 12 | BRAND: Luminara | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: blue nylon desk lamp, size 1 | BRAND: Duxton | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: blue nylon blender, size 7 | BRAND: Corvale | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey steel floor lamp, size 7 | BRAND: Luminara | REGION: UK -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: black aluminum work gloves, size 10 | BRAND: Vornado | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: yellow rubber work gloves, size 10 | BRAND: Halvern | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: yellow rubber resistance bands, size 4 | BRAND: Rendale | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: green silicone laser pointer, size 10 | BRAND: Mavano | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange silicone lock pick set, size 1 | BRAND: Solvex | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green steel stun gun, size 9 | BRAND: Quorra | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red cotton resistance bands, size 6 | BRAND: Krendal | REGION: CA -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: blue silicone duffel bag, size 6 | BRAND: Vestra | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: blue cotton cat tree, size 11 | BRAND: Umbral | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue rubber dumbbell set, size 1 | BRAND: Fenwick | REGION: US -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: yellow steel pet bed, size 1 | BRAND: Tabor | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: green canvas vape pen, size 3 | BRAND: Solvex | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white aluminum toaster, size 9 | BRAND: Tabor | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: orange aluminum stun gun, size 5 | BRAND: Elmira | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red aluminum desk lamp, size 2 | BRAND: Mavano | REGION: UK -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: black aluminum suitcase, size 9 | BRAND: Krendal | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: blue cotton heat gun, size 10 | BRAND: Grohler | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white nylon cat tree, size 1 | BRAND: Ironmark | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red silicone blender, size 12 | BRAND: Solvex | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white aluminum kettle, size 4 | BRAND: Mavano | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green rubber desk lamp, size 10 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: black canvas stun gun, size 11 | BRAND: Umbral | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: yellow rubber laser pointer, size 6 | BRAND: Vestra | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey rubber circular saw, size 5 | BRAND: Fenwick | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white aluminum charging cable, size 12 | BRAND: Ironmark | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey steel desk lamp, size 11 | BRAND: Lorvex | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: red silicone phone case, size 8 | BRAND: Luminara | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: yellow canvas charging cable, size 4 | BRAND: Duxton | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: blue rubber backpack, size 6 | BRAND: Lorvex | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: red leather lock pick set, size 10 | BRAND: Solvex | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white nylon floor lamp, size 6 | BRAND: Halvern | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green aluminum work gloves, size 6 | BRAND: VoltEdge | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: orange leather heat gun, size 8 | BRAND: Jovita | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange silicone welding gloves, size 5 | BRAND: Fenwick | REGION: CA -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: black rubber led strip, size 2 | BRAND: Luminara | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: white nylon laser pointer, size 3 | BRAND: Grohler | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black leather phone case, size 9 | BRAND: Kestrel | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: white steel blender, size 2 | BRAND: Vestra | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white silicone suitcase, size 4 | BRAND: Umbral | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey rubber circular saw, size 12 | BRAND: Vornado | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white leather toaster, size 7 | BRAND: PawHaven | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: blue silicone work gloves, size 10 | BRAND: Tabor | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: black cotton heat gun, size 4 | BRAND: Vornado | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: white leather duffel bag, size 2 | BRAND: Rendale | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: black aluminum dumbbell set, size 3 | BRAND: Corvale | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: grey silicone cat tree, size 8 | BRAND: Krendal | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: yellow aluminum dog leash, size 7 | BRAND: Ironmark | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: green cotton desk lamp, size 3 | BRAND: Vestra | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: blue steel kettle, size 9 | BRAND: Ironmark | REGION: AU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white rubber power bank, size 12 | BRAND: Quorra | REGION: US -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey silicone cat tree, size 7 | BRAND: Ostrell | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: green steel cat tree, size 7 | BRAND: Halvern | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: blue cotton desk lamp, size 2 | BRAND: PawHaven | REGION: UK -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: blue nylon lock pick set, size 7 | BRAND: Umbral | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue rubber power bank, size 3 | BRAND: Brontek | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white silicone trail shoes, size 11 | BRAND: Umbral | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: grey canvas pet bed, size 8 | BRAND: Pinevale | REGION: CA -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: white nylon floor lamp, size 4 | BRAND: Grohler | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green steel laser pointer, size 4 | BRAND: Fenwick | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red aluminum pet bed, size 3 | BRAND: Lorvex | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black leather running shoes, size 11 | BRAND: Vestra | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: yellow rubber yoga mat, size 5 | BRAND: PawHaven | REGION: US -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: yellow silicone resistance bands, size 8 | BRAND: Ironmark | REGION: CA -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: blue canvas blender, size 8 | BRAND: Elmira | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: blue leather dumbbell set, size 2 | BRAND: PawHaven | REGION: US -> CATEGORY: Fitness Gear | VERDICT: flagged
LISTING: blue cotton yoga mat, size 9 | BRAND: Rendale | REGION: US -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange leather blender, size 8 | BRAND: Vestra | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: orange steel vape pen, size 6 | BRAND: Tabor | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange leather kettle, size 3 | BRAND: Jovita | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: white cotton laser pointer, size 12 | BRAND: Tabor | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue silicone pet bed, size 6 | BRAND: PawHaven | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: black steel blender, size 1 | BRAND: Pinevale | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: orange silicone laser pointer, size 6 | BRAND: Brontek | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red cotton cordless drill, size 8 | BRAND: Lorvex | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: orange nylon toaster, size 1 | BRAND: Ostrell | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey steel vape pen, size 11 | BRAND: Jovita | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green nylon charging cable, size 1 | BRAND: Rendale | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red aluminum floor lamp, size 9 | BRAND: Ironmark | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: red rubber kettle, size 5 | BRAND: Halvern | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: yellow aluminum lock pick set, size 11 | BRAND: Umbral | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black rubber welding gloves, size 3 | BRAND: Mavano | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: black rubber work gloves, size 3 | BRAND: Pinevale | REGION: EU -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: orange steel yoga mat, size 4 | BRAND: Rendale | REGION: US -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange steel phone case, size 6 | BRAND: Pinevale | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green rubber suitcase, size 3 | BRAND: Luminara | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: green leather heat gun, size 11 | BRAND: Brontek | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: black leather dog leash, size 4 | BRAND: Adera | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red aluminum laser pointer, size 5 | BRAND: Quorra | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green cotton suitcase, size 3 | BRAND: Grohler | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: blue steel pet bed, size 8 | BRAND: PawHaven | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: grey leather toaster, size 3 | BRAND: Krendal | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: orange aluminum led strip, size 1 | BRAND: Vornado | REGION: CA -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: grey rubber toaster, size 10 | BRAND: Luminara | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: flagged
LISTING: green aluminum welding gloves, size 10 | BRAND: Ostrell | REGION: CA -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: white canvas angle grinder, size 8 | BRAND: Nordbay | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey cotton charging cable, size 3 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red nylon dog leash, size 8 | BRAND: VoltEdge | REGION: US -> CATEGORY: Pet Supplies | VERDICT: flagged
LISTING: orange cotton yoga mat, size 8 | BRAND: Ostrell | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange nylon phone case, size 9 | BRAND: VoltEdge | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white nylon air fryer, size 5 | BRAND: Tabor | REGION: UK -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: green aluminum lock pick set, size 10 | BRAND: Rendale | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black steel angle grinder, size 11 | BRAND: Vornado | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: blue rubber heat gun, size 10 | BRAND: Grohler | REGION: UK -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red cotton pet bed, size 11 | BRAND: Duxton | REGION: EU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: red cotton vape pen, size 2 | BRAND: Jovita | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red silicone phone case, size 11 | BRAND: Kestrel | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: orange steel laser pointer, size 4 | BRAND: Nordbay | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue cotton toaster, size 5 | BRAND: Corvale | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: yellow rubber power bank, size 7 | BRAND: Jovita | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow leather trail shoes, size 8 | BRAND: Kestrel | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: grey rubber led strip, size 4 | BRAND: Luminara | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange rubber vape pen, size 11 | BRAND: Quorra | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white canvas cat tree, size 3 | BRAND: Ostrell | REGION: AU -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: green leather floor lamp, size 9 | BRAND: Luminara | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green steel laser pointer, size 8 | BRAND: Adera | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red canvas backpack, size 10 | BRAND: Vornado | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: orange silicone stun gun, size 9 | BRAND: Quorra | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey leather angle grinder, size 8 | BRAND: Grohler | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: green silicone welding gloves, size 8 | BRAND: Lorvex | REGION: US -> CATEGORY: Safety Gloves | VERDICT: allowed
LISTING: yellow steel duffel bag, size 9 | BRAND: Lorvex | REGION: EU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: green rubber desk lamp, size 1 | BRAND: Pinevale | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: yellow cotton phone case, size 11 | BRAND: Vornado | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: red canvas angle grinder, size 11 | BRAND: Lorvex | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow silicone lock pick set, size 12 | BRAND: Ironmark | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange aluminum led strip, size 5 | BRAND: Luminara | REGION: EU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: black cotton air fryer, size 11 | BRAND: Lorvex | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: red cotton trail shoes, size 12 | BRAND: Ironmark | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: white aluminum welding gloves, size 7 | BRAND: VoltEdge | REGION: UK -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: yellow leather vape pen, size 4 | BRAND: Brontek | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: black cotton led strip, size 11 | BRAND: Krendal | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: orange silicone angle grinder, size 11 | BRAND: Corvale | REGION: US -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey leather vape pen, size 1 | BRAND: Fenwick | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange steel backpack, size 4 | BRAND: Kestrel | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: black steel blender, size 6 | BRAND: Umbral | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey canvas desk lamp, size 2 | BRAND: Tabor | REGION: AU -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: red canvas power bank, size 7 | BRAND: Ironmark | REGION: UK -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow aluminum lock pick set, size 12 | BRAND: Elmira | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue silicone duffel bag, size 12 | BRAND: Jovita | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: white steel heat gun, size 5 | BRAND: Tabor | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red steel air fryer, size 4 | BRAND: Halvern | REGION: CA -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: black leather stun gun, size 7 | BRAND: Duxton | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey canvas resistance bands, size 4 | BRAND: Quorra | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: black steel backpack, size 6 | BRAND: Fenwick | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: orange leather laser pointer, size 2 | BRAND: Ostrell | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: red canvas phone case, size 5 | BRAND: VoltEdge | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: yellow silicone floor lamp, size 1 | BRAND: Kestrel | REGION: UK -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: red canvas cordless drill, size 11 | BRAND: Luminara | REGION: US -> CATEGORY: Power Tools | VERDICT: flagged
LISTING: green canvas cordless drill, size 9 | BRAND: Vornado | REGION: AU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: grey nylon power bank, size 10 | BRAND: TrailKing | REGION: US -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: white nylon suitcase, size 12 | BRAND: PawHaven | REGION: CA -> CATEGORY: Bags & Luggage | VERDICT: flagged
LISTING: black leather stun gun, size 7 | BRAND: Nordbay | REGION: UK -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green rubber pet bed, size 10 | BRAND: Corvale | REGION: US -> CATEGORY: Pet Supplies | VERDICT: allowed
